x,y1,y2
1,15284.858879999974,15284.858879999974
2,16083.053511680002,15388.73650688
3,15696.451338240002,15353.721845759994
4,15703.693440000003,15354.5653248
5,15711.455953920002,15363.251543039996
6,15718.7002112,15371.0345472
7,15724.820131839999,15378.934681600002
8,15732.062336000005,15387.455979519998
9,15738.890623999998,15396.751738880004
10,15748.111178989897,15403.82382286869
11,15755.219445656561,15409.027594448975
12,15766.718295092782,15414.677667628868
13,15775.947520000003,15418.024048000005
14,15789.67517866666,15421.337899574464
15,15803.853875200002,15424.722521043475
16,15820.593878325579,15427.736196314605
17,15837.282191609756,15432.590022776476
18,15849.691571199999,15438.214226172844
19,15858.621180759495,15442.68765002531
20,15873.550672842108,15447.073923282047
21,15891.787434666663,15449.137131520001
22,15908.142825411769,15450.28390940845
23,15916.819983283582,15455.126574545455
24,15926.659762424248,15458.818678153848
25,15936.260434707698,15463.541296
26,15950.92566709677,15466.042871873015
27,15967.968220689658,15472.792755200002
28,15977.12066021053,15477.740786036364
29,15987.596027345457,15482.158923851852
30,15997.768391111107,15485.617260307692
31,16007.155383547175,15489.200730352943
32,16019.029734901958,15491.881574400002
33,16032.741536,15498.501130666664
34,16043.595939404255,15503.2771584
35,16050.498995744683,15509.717178181822
36,16057.80347097872,15505.485416727275
37,16067.938437565219,15508.000127999996
38,16074.519262608695,15507.205691534882
39,16086.158371720929,15512.618019720938
40,16093.4135784186,15517.391270400001
41,16103.702940097555,15516.103436800002
42,16110.409653073168,15519.964160000005
43,16117.721312780486,15522.02361263158
44,16125.131929600004,15525.645635368419
45,16135.283711999995,15526.819341837843
46,16142.82929124324,15528.347560228574
47,16149.891943783785,15532.167634823527
48,16156.803868444442,15534.28142682353
49,16163.549710222222,15539.292191030307
50,16170.579397485712,15542.041894787877
51,16178.038603294117,15538.037680000001
52,16197.692816,15542.152902193546
53,16204.550160000004,15544.703064275862
54,16208.408644266667,15548.893219310341
55,16215.775914666667,15554.103523555557
56,16233.150957037038,15555.688211692306
57,16240.063999999997,15560.666624000003
58,16256.879349759996,15561.272809739132
59,16263.554990080003,15564.431569454544
60,16271.775662080001,15567.155944727272
61,16278.54559232,15568.95022545455
62,16274.370515478262,15568.481117090909
63,16280.92836730435,15571.890304
64,16279.46591418182,15577.868569599997
65,16286.704616727273,15581.085411555554
66,16306.604129523812,15581.663317333334
67,16314.743856761905,15585.812479999997
68,16340.254873600003,15590.363448888887
69,16338.877817263156,15581.519957333334
70,16351.851493052633,15586.070467764706
71,16347.738481777778,15585.961441882355
72,16353.226296888888,15584.820000000002
73,16374.115478588234,15579.113343999998
74,16381.786895058824,15593.790702933333
75,16388.885202823527,15596.588407466666
76,16382.154751999999,15597.130069333332
77,16375.604114285712,15604.165266285714
78,16363.555328,15613.33137723077
79,16368.862523076921,15615.029802666666
80,16379.948937846157,15613.76260266667
81,16358.55722666667,15613.96078933333
82,16364.506837333332,15587.663732363633
83,16374.969514666665,15592.60476509091
84,16380.716885333333,15585.840500363636
85,16420.66501818182,15592.794437818182
86,16426.317405090904,15600.68352
87,16432.050315636363,15607.1055872
88,16437.21769890909,15612.734771200001
89,16453.085789090906,15620.1821696
90,16458.194385454546,15627.638118399997
91,16463.635176727275,15634.260992
92,16470.168622545454,15631.945369599998
93,16478.909439999996,15638.877696
94,16483.829480727272,15644.7173632
95,16489.015249454547,15641.047654399998
