config,saved_tokens_mean,saved_tokens_ci_low,saved_tokens_ci_high,time_mean,time_ci_low,time_ci_high
"No trie, No GC",0.0,0.0,0.0,8.831913058350725,8.100534427484494,9.563291689216957
"Yes trie, No GC",360.2926829268293,338.1650244879859,382.4203413656727,5.957896300932256,5.319236081177788,6.596556520686724
"Yes trie, Yes GC",535.829268292683,503.5483780455288,568.1101585398371,8.19491658850414,7.478481221584654,8.911351955423626
