step,no_gc,with_gc,ratio
1,0.5542850494384766,0.5473668575286865,0.9875187109650556
2,0.040070533752441406,0.037811994552612305,0.9436359092748173
3,0.16899561882019043,0.16414141654968262,0.9712761650012204
4,0.09460806846618652,0.09441256523132324,0.9979335458589015
5,0.09257268905639648,0.09438753128051758,1.019604510170548
6,0.09006214141845703,0.09084677696228027,1.0087121573112234
7,0.08993673324584961,0.09083890914916992,1.0100312282952744
8,0.09102249145507812,0.09125828742980957,1.0025905242864925
9,0.09049725532531738,0.09184694290161133,1.0149141271902902
10,0.09071993827819824,0.0901176929473877,0.9933614887505354
11,0.09236717224121094,0.1859116554260254,2.0127459888078962
12,0.09103679656982422,0.08684229850769043,0.9539252453933103
13,0.09070420265197754,0.09104180335998535,1.0037219963148032
14,0.09111857414245605,0.0902717113494873,0.9907059257573022
15,0.09169197082519531,0.0899662971496582,0.9811796642606037
16,0.08906888961791992,0.09082317352294922,1.019695809755288
17,0.08833169937133789,0.09104537963867188,1.030721476962941
18,0.09239435195922852,0.0902090072631836,0.9763476376022502
19,0.0941014289855957,0.09265899658203125,0.9846715143530366
20,0.0903167724609375,0.09006977081298828,0.9972651630342964
21,0.09113788604736328,0.09107613563537598,0.9993224506880134
22,0.09141421318054199,0.09021353721618652,0.9868655439610452
23,0.09116101264953613,0.09026265144348145,0.9901453353802859
24,0.09277892112731934,0.09433388710021973,1.016759905741591
25,0.09061908721923828,0.09585905075073242,1.0578240599446438
26,0.09073376655578613,0.09387588500976562,1.034630089472232
27,0.09110832214355469,0.0909571647644043,0.9983409048087591
28,0.08977603912353516,0.09051108360290527,1.008187535188077
29,0.09219837188720703,0.09222149848937988,1.0002508352555417
30,0.08973026275634766,0.09010171890258789,1.0041396975204329
31,0.09081697463989258,0.09196114540100098,1.0125986443134145
32,0.09113287925720215,0.09032964706420898,0.9911861427012942
33,0.09130597114562988,0.09186553955078125,1.0061284973822673
34,0.09167289733886719,0.08998632431030273,0.9816022720179765
35,0.09034276008605957,0.09090161323547363,1.0061859206967079
36,0.0912775993347168,0.09174680709838867,1.00514044811752
37,0.08978462219238281,0.09327840805053711,1.038912964969303
38,0.08934545516967773,0.09501433372497559,1.0634489862358636
39,0.09046626091003418,0.09500765800476074,1.0501998982719407
40,0.08995485305786133,0.09377837181091309,1.042504863529624
41,0.09254026412963867,0.0958089828491211,1.0353221243771609
42,0.09342193603515625,0.09506797790527344,1.0176194365046958
43,0.09587574005126953,0.09552693367004395,0.9963618911203287
44,0.09469819068908691,0.09548640251159668,1.0083234095263511
45,0.0914769172668457,0.09659218788146973,1.0559187035096773
46,0.0941157341003418,0.09587478637695312,1.0186903103229892
47,0.09056258201599121,0.09450244903564453,1.0435043583337502
48,0.09529423713684082,0.09555172920227051,1.0027020738416734
49,0.09881424903869629,0.09952855110168457,1.007228735429731
50,0.09595203399658203,0.10131382942199707,1.0558799558705136
51,0.09701871871948242,0.10062003135681152,1.0371197711623243
52,0.09743309020996094,0.10074353218078613,1.0339765675469335
53,0.09450125694274902,0.10035943984985352,1.061990528979456
54,0.09365677833557129,0.09748077392578125,1.0408298860815886
55,0.09837770462036133,0.09674072265625,0.9833602342072482
56,0.11181330680847168,0.10190892219543457,0.9114203407828495
57,0.1011514663696289,0.10022878646850586,0.9908782350445482
58,0.10159158706665039,0.09897494316101074,0.9742434980967177
59,0.41765570640563965,0.39464640617370605,0.9449084500007136
60,0.10914826393127441,0.11266350746154785,1.0322061332325618
61,0.0006585121154785156,0.001203298568725586,1.82729905865315
62,0.20402002334594727,0.21339869499206543,1.0459693685566107
63,0.08672404289245605,0.08985304832458496,1.0360800226531077
64,0.09162020683288574,0.09272909164428711,1.0121030594639888
65,0.08850693702697754,0.09031295776367188,1.0204054145060273
66,0.08749246597290039,0.08967876434326172,1.024988418671826
67,0.08679318428039551,0.08722543716430664,1.004980262995245
68,0.08975052833557129,0.0841362476348877,0.9374457086236622
69,0.09045290946960449,0.09090495109558105,1.0049975354980534
70,0.0912470817565918,0.09165763854980469,1.0044993964224311
71,0.09042024612426758,0.0914008617401123,1.0108450889914304
72,0.09164977073669434,0.0916750431060791,1.0002757494010255
73,0.08911609649658203,0.08999967575073242,1.0099149232168656
74,0.09291768074035645,0.08950638771057129,0.9632869330938483
75,0.09192728996276855,0.09279036521911621,1.0093886729033044
76,0.09102749824523926,0.09084177017211914,0.9979596487138453
77,0.09102964401245117,0.09102201461791992,0.9999161878021823
78,0.09163093566894531,0.09081554412841797,0.9911013509294144
79,0.09083890914916992,0.09116387367248535,1.0035773714849634
80,0.0918889045715332,0.09178662300109863,0.9988868996652915
81,0.0910959243774414,0.08947181701660156,0.9821714596790234
82,0.09059500694274902,0.09167814254760742,1.011955798022543
83,0.09052681922912598,0.09106040000915527,1.0058941735120372
84,0.09062027931213379,0.09068536758422852,1.0007182528302583
85,0.09148406982421875,0.09048032760620117,0.9890282295054624
86,0.09240913391113281,0.09030652046203613,0.977246692398192
87,0.08967924118041992,0.09034109115600586,1.007380191523414
88,0.09077763557434082,0.09131646156311035,1.0059356689052368
89,0.09080672264099121,0.08922600746154785,0.9825925313295053
90,0.09151339530944824,0.09104537963867188,0.9948858233355479
91,0.09044837951660156,0.09216070175170898,1.018931486050484
92,0.09184813499450684,0.09162187576293945,0.9975365941662189
93,0.08954381942749023,0.0905294418334961,1.0110071517197676
94,0.09209060668945312,0.09836006164550781,1.0680792013586844
95,0.09037423133850098,0.09800148010253906,1.0843962781323127
96,0.37093186378479004,0.35648298263549805,0.9610470747865569
97,0.09478282928466797,0.09692883491516113,1.0226412911145322
98,0.0009427070617675781,0.0012097358703613281,1.2832574607991907
99,0.17725443840026855,0.17757964134216309,1.001834667412729
100,0.09170675277709961,0.09002423286437988,0.9816532604004721
101,0.09134411811828613,0.0913543701171875,1.0001122349102773
102,0.08769869804382324,0.08926534652709961,1.0178639879293705
103,0.0856165885925293,0.09166622161865234,1.070659589754443
104,0.38423991203308105,0.3819770812988281,0.994110890973611
105,0.11184382438659668,0.11301851272583008,1.0105029342985716
106,0.0011911392211914062,0.001207113265991211,1.0134107285828662
107,0.20145082473754883,0.19376730918884277,0.9618591010549786
108,0.08716964721679688,0.0887141227722168,1.0177180429740493
109,0.092620849609375,0.09090328216552734,0.9814559308072488
110,0.08868813514709473,0.09052777290344238,1.0207427718859632
111,0.09237408638000488,0.09156608581542969,0.9912529520319013
112,0.09111618995666504,0.09053850173950195,0.9936598729881283
113,0.09242701530456543,0.09145426750183105,0.9894755034604441
114,0.08973884582519531,0.08895659446716309,0.991283024081277
115,0.0917210578918457,0.09217309951782227,1.0049284388598045
116,0.09102869033813477,0.09024381637573242,0.9913777298180733
117,0.09076690673828125,0.08735179901123047,0.9623749684794486
118,0.08810234069824219,0.08462047576904297,0.9604793141521075
119,0.09121537208557129,0.08689379692077637,0.9526222930851967
120,0.09305119514465332,0.09449553489685059,1.0155219903403923
121,0.09171295166015625,0.0928030014038086,1.011885450461692
122,0.09004688262939453,0.09147047996520996,1.0158095127143325
123,0.09157061576843262,0.09577322006225586,1.0458946820282498
124,0.09109044075012207,0.08721566200256348,0.9574622900531591
125,0.09049510955810547,0.09143733978271484,1.0104119463384305
126,0.09166812896728516,0.08917021751403809,0.9727504915679196
127,0.09176468849182129,0.09148287773132324,0.99692898472027
128,0.09012103080749512,0.0918118953704834,1.018762152938531
129,0.09194445610046387,0.08867478370666504,0.9644386129140163
130,0.08981466293334961,0.08910298347473145,0.9920761328342756
