step,no_gc,with_gc,ratio
1,1.7232458591461182,0.06566190719604492,0.03810362105183349
2,0.22733831405639648,0.06462836265563965,0.28428275684144955
3,0.49889492988586426,0.06328749656677246,0.12685536127066113
4,0.06362318992614746,0.06481170654296875,1.0186805568567199
5,0.06830477714538574,0.0837090015411377,1.2255219186641115
6,0.06719446182250977,0.07087302207946777,1.054744991732722
7,0.06451106071472168,0.06856036186218262,1.062769098858374
8,0.06702136993408203,0.06500053405761719,0.9698478876446064
9,0.06324481964111328,0.06673431396484375,1.0551743896738393
10,0.06067919731140137,0.06480550765991211,1.0680020588824668
11,0.06099200248718262,0.06563496589660645,1.0761241346420711
12,0.06812429428100586,0.06467318534851074,0.9493409954713125
13,0.06297659873962402,0.06751799583435059,1.0721124542388025
14,0.06141161918640137,0.06394100189208984,1.0411873638767135
15,0.06505417823791504,0.0788278579711914,1.2117262888619313
16,0.0637655258178711,0.06550288200378418,1.0272460104990802
17,0.06301069259643555,0.0654911994934082,1.0393664439281687
18,0.06033134460449219,0.06843280792236328,1.134282823812083
19,0.06246829032897949,0.06620550155639648,1.0598257325074139
20,0.06605005264282227,0.06865477561950684,1.039435592743129
21,0.06302046775817871,0.06554317474365234,1.0400299628868788
22,0.061830997467041016,0.06648802757263184,1.0753186960645953
23,0.06670045852661133,0.06592226028442383,0.9883329401419778
24,0.0630805492401123,0.06778168678283691,1.074525944991855
25,0.06477475166320801,0.07044482231140137,1.0875351970112446
26,0.06607222557067871,0.06544709205627441,0.990538633911528
27,0.07108950614929199,0.0710759162902832,0.9998088345278381
28,0.06882596015930176,0.0661768913269043,0.9615106156708016
29,0.06425833702087402,0.06847620010375977,1.065639157165172
30,0.0680842399597168,0.06641459465026855,0.9754767724448989
31,0.06778287887573242,0.06722807884216309,0.991815041751377
32,0.06573820114135742,0.0684819221496582,1.041737086818073
33,0.06765627861022949,0.0664985179901123,0.9828876100799588
34,0.06256365776062012,0.07001757621765137,1.119141346970973
35,0.06537723541259766,0.06876969337463379,1.0518905080740448
36,0.06451606750488281,0.13913607597351074,2.1566112342941612
37,0.0644831657409668,0.0673973560333252,1.0451930400573832
38,0.06685519218444824,0.07002615928649902,1.0474303789794266
39,0.06928873062133789,0.07059979438781738,1.0189217460721633
40,0.06333088874816895,0.07020187377929688,1.1084934250401877
41,0.06346559524536133,0.06963300704956055,1.097177246669722
42,0.06578874588012695,0.06709647178649902,1.0198776536758258
43,0.0632328987121582,0.06740736961364746,1.0660173894682865
44,0.06823015213012695,0.06697916984558105,0.9816652572874225
45,0.09900689125061035,0.06847047805786133,0.6915728510710029
46,0.0737617015838623,0.06983280181884766,0.9467352341303062
47,0.06936788558959961,0.06928634643554688,0.9988245402990205
48,0.06663918495178223,0.07056212425231934,1.0588683565589168
49,0.06705117225646973,0.07211947441101074,1.075588568909054
50,0.06882691383361816,0.07069206237792969,1.0270991163256329
51,0.06414055824279785,0.06954526901245117,1.0842635442802713
52,0.06821036338806152,0.06660079956054688,0.9764029430783481
53,0.06581974029541016,0.06666445732116699,1.0128337945723518
54,0.06961727142333984,0.06924200057983398,0.9946095151988383
55,0.06754469871520996,0.06614327430725098,0.9792518963794947
56,0.06938028335571289,0.06540441513061523,0.9426945519274782
57,0.10617923736572266,0.06704449653625488,0.6314275577750433
58,0.06815695762634277,0.0676581859588623,0.9926820139153674
59,0.06799936294555664,0.07081818580627441,1.0414536657199958
60,0.06483864784240723,0.07473516464233398,1.1526329917301887
61,0.06727361679077148,0.0695657730102539,1.0340721419306367
62,0.06763577461242676,0.0713491439819336,1.0549024446128628
63,0.06562662124633789,0.07087540626525879,1.0799795101323122
64,0.06812691688537598,0.07001614570617676,1.0277310189154665
65,0.06545066833496094,0.0708160400390625,1.0819758123269707
66,0.0673377513885498,0.06950116157531738,1.032127746207092
67,0.07120728492736816,0.07856893539428711,1.1033833894162355
68,0.0694112777709961,0.07048988342285156,1.0155393429784427
69,0.07052087783813477,0.06846189498901367,0.9708032158384778
70,0.0698096752166748,0.07136845588684082,1.0223290061918764
71,0.0682668685913086,0.07048869132995605,1.0325461352555774
72,0.06745719909667969,0.06827735900878906,1.0121582265954139
73,0.07068824768066406,0.07085204124450684,1.0023171258195946
74,0.0744473934173584,0.0750892162322998,1.0086211589886471
75,0.06656455993652344,0.0706789493560791,1.0618105103298088
76,0.06786131858825684,0.07058858871459961,1.0401888761238234
77,0.35970115661621094,0.07079029083251953,0.19680306701946582
78,0.15740633010864258,0.0697636604309082,0.4432074642916648
79,0.000637054443359375,0.07147383689880371,112.19423652694611
80,0.06347036361694336,0.06902766227722168,1.0875573786502588
81,0.06646013259887695,0.07197165489196777,1.0829297516806933
82,0.0607450008392334,0.4185292720794678,6.88993771169976
83,0.08044862747192383,0.06719684600830078,0.8352764754346138
84,0.06256628036499023,0.06396865844726562,1.0224142792906084
85,0.06015491485595703,0.06733226776123047,1.1193144886408675
86,0.06194281578063965,0.06508302688598633,1.0506953238365402
87,0.06748533248901367,0.06612491607666016,0.9798413023663329
88,0.06342720985412598,0.06502366065979004,1.0251698097604434
89,0.061701297760009766,0.06407785415649414,1.0385171217261606
90,0.06645655632019043,0.0679171085357666,1.0219775488898217
91,0.06307339668273926,0.06772637367248535,1.0737708326245798
92,0.061644792556762695,0.09757304191589355,1.5828269975285914
93,0.06191754341125488,0.08830451965332031,1.4261631645623236
94,0.06595110893249512,0.06709718704223633,1.0173776927832145
95,0.06367349624633789,0.06917428970336914,1.0863906300315278
96,0.06510734558105469,0.06464314460754395,0.9928702211806064
97,0.0656290054321289,0.06522750854492188,0.993882325588154
98,0.06536173820495605,0.06802105903625488,1.040686201198627
99,0.06537604331970215,0.06797933578491211,1.039820281757942
100,0.0632009506225586,0.06981015205383301,1.1045743990584116
101,0.06808710098266602,0.06664109230041504,0.9787623696503231
102,0.062390804290771484,0.0671851634979248,1.0768440038825158
103,0.06424665451049805,0.06605720520019531,1.0281812446654544
104,0.06583952903747559,0.06821990013122559,1.0361541330648811
105,0.0660409927368164,0.06691813468933105,1.013281780242314
106,0.06536173820495605,0.06982874870300293,1.0683428963293415
107,0.06900167465209961,0.06893539428710938,0.9990394383132813
108,0.0640568733215332,0.0701904296875,1.0957517288609988
109,0.06720328330993652,0.06782078742980957,1.0091886004590753
110,0.06316804885864258,0.07054543495178223,1.1167898364194968
111,0.06812071800231934,0.06968975067138672,1.0230331199535208
112,0.06282758712768555,0.06612849235534668,1.0525391054880502
113,0.0634775161743164,0.06604623794555664,1.0404666396238038
114,0.06693887710571289,0.07405829429626465,1.1063569856319588
115,0.08203291893005371,0.06876540184020996,0.8382659392974124
116,0.06992387771606445,0.07264995574951172,1.0389863680689575
117,0.07025837898254395,0.07169175148010254,1.0204014456114157
118,0.06321573257446289,0.06843733787536621,1.0825997752181817
119,0.06814980506896973,0.06647491455078125,0.9754233997222231
120,0.0654449462890625,0.07119297981262207,1.0878300594544184
121,0.06699466705322266,0.0706489086151123,1.0545452604307535
122,0.06912112236022949,0.06829166412353516,0.9879999310142628
123,0.06534910202026367,0.1091463565826416,1.6702043824381416
124,0.0688619613647461,0.06728959083557129,0.9771663412134558
125,0.06758666038513184,0.0669858455657959,0.9911104526261204
126,0.06555438041687012,0.07039427757263184,1.0738302631339673
127,0.0673532485961914,0.06847381591796875,1.0166371681415929
128,0.06944489479064941,0.06801748275756836,0.9794454000199125
129,0.07007455825805664,0.06970024108886719,0.9946583014078948
130,0.06340408325195312,0.07126045227050781,1.1239095120630527
131,0.06761360168457031,0.06779885292053223,1.0027398516178172
132,0.06411051750183105,0.15663957595825195,2.4432742405140964
133,0.06868982315063477,0.06869697570800781,1.000104128341652
134,0.06952214241027832,0.0742800235748291,1.0684369180752888
135,0.06610584259033203,0.07244467735290527,1.0958891758154565
136,0.0666346549987793,0.06976079940795898,1.0469146934014584
137,0.06957054138183594,0.07118582725524902,1.0232179575051406
138,0.06798601150512695,0.06814122200012207,1.0022829769177357
139,0.06519007682800293,0.06980490684509277,1.0707903754932762
140,0.0681772232055664,0.06705451011657715,0.9835324315628978
141,0.06544232368469238,0.0680687427520752,1.040133340619706
142,0.06633186340332031,0.06882262229919434,1.0375499611812404
143,0.07055950164794922,0.07083702087402344,1.003933123386541
144,0.07019805908203125,0.069915771484375,0.9959786979676122
145,0.07191705703735352,0.07126426696777344,0.9909230146995445
146,0.07127976417541504,0.06997966766357422,0.9817606507698122
147,0.0711967945098877,0.06657147407531738,0.9350347095482233
148,0.06974124908447266,0.06494760513305664,0.9312652983084686
149,0.06970500946044922,0.06624650955200195,0.9503837681793929
150,0.06530547142028809,0.06833195686340332,1.0463435203405487
151,0.07158875465393066,0.07185220718383789,1.0036800825937089
152,0.07131814956665039,0.07861328125,1.1022899742586836
153,0.0715169906616211,0.07318949699401855,1.0233861396700938
154,0.07047820091247559,0.07136940956115723,1.0126451674013133
155,0.07032251358032227,0.06918907165527344,0.9838822324837093
156,0.06760001182556152,0.0715627670288086,1.058620628846527
157,0.06963014602661133,0.07191205024719238,1.0327717856531415
158,0.07042646408081055,0.07805395126342773,1.1083042757033075
159,0.07088088989257812,0.06859254837036133,0.9677156773047737
160,0.07071113586425781,0.07037973403930664,0.9953133007849378
161,0.07107901573181152,0.06817841529846191,0.959191888020877
162,0.06985855102539062,0.06973981857299805,0.9983003877027249
163,0.0704948902130127,0.07161092758178711,1.0158314647402402
164,0.07070302963256836,0.07036399841308594,0.9952048558421851
165,0.06996703147888184,0.07064032554626465,1.0096230189155022
166,0.06550121307373047,0.07228636741638184,1.1035882241602726
167,0.06630992889404297,0.06966495513916016,1.0505961369748744
168,0.07031083106994629,0.07188987731933594,1.022458079720588
169,0.06761956214904785,0.07017993927001953,1.037864443950821
170,0.06672859191894531,0.06971859931945801,1.0448084893525798
171,0.06720685958862305,0.07002830505371094,1.0419815102559191
172,0.0671541690826416,0.06698250770568848,0.9974437718566382
