model,dataset,beam,samples,mode,metric,origin_mean,tree_mean,margin,verdict,p_value,test,ci_lower,ci_upper,is_topk,prefix_used
PHI35,HUMAN_EVAL,3,1000.0,beam,mem_per_token,2.8622189550392685,1.23301276210758,0.07775380251493469,better,2.2923891749697265e-88,paired t-test,-1.7069599954466237,-1.5514523904167543,False,orig
PHI35,HUMAN_EVAL,3,1000.0,beam,tok_per_sec,12.815044334834656,13.990112243238643,0.10302980711337073,better,6.502758046971909e-52,paired t-test,1.0720381012906168,1.2780977155173583,False,orig
PHI35,HUMAN_EVAL,3,1000.0,beam,score,0.6890243902439024,0.6890243902439024,,no_sig,1.0,McNemar test,,,False,orig
PHI35,HUMAN_EVAL,3,1000.0,beam,input_kv_memory,16167.811187512196,15585.103597268291,35.12536198316468,better,1.3098263547466572e-73,paired t-test,-617.832952227067,-547.5822282607377,False,orig
PHI35,HUMAN_EVAL,15,1000.0,beam,mem_per_token,15.60190145175607,3.0726187703009584,0.464066543567359,better,4.5004695953943e-105,paired t-test,-12.993349225022472,-12.065216137887754,False,orig
PHI35,HUMAN_EVAL,15,1000.0,beam,tok_per_sec,9.84572839714611,10.959076790495512,0.1258491089734961,better,3.4889346710431786e-39,paired t-test,0.9874992843759052,1.2391975023228974,False,orig
PHI35,HUMAN_EVAL,15,1000.0,beam,score,0.7012195121951219,0.7012195121951219,44477.41767446576,no_sig,0.4795001221869533,McNemar test,335.342416705584,89290.1777656371,False,orig
PHI35,HUMAN_EVAL,15,1000.0,beam,input_kv_memory,19626.100383219517,15585.103569170731,247.11611124359183,better,9.992747552976928e-73,paired t-test,-4288.112925292371,-3793.8807028051874,False,orig
PHI35,HUMAN_EVAL,9,1000.0,beam,mem_per_token,9.260862386559324,2.1740199299780394,0.2849974958054151,better,1.374853529027643e-99,paired t-test,-7.371839952386701,-6.80184496077587,False,orig
PHI35,HUMAN_EVAL,9,1000.0,beam,tok_per_sec,10.88643179066155,11.864445659462271,0.09835573714248413,better,8.298791084181421e-45,paired t-test,0.8796581316582401,1.0763696059432084,False,orig
PHI35,HUMAN_EVAL,9,1000.0,beam,score,0.6890243902439024,0.7012195121951219,62389.598222708744,no_sig,0.4795001221869533,McNemar test,245.21905483284283,125024.41550025032,False,orig
PHI35,HUMAN_EVAL,9,1000.0,beam,input_kv_memory,17897.142827707317,15585.103572292684,141.15886314338354,better,7.960710826781864e-73,paired t-test,-2453.198118558017,-2170.88039227125,False,orig
PHI35,HUMAN_EVAL,1,1000.0,beam,mem_per_token,0.7483399381862009,,0.02970038546414666,n/a,,n/a,0.7186395527220543,0.7780403236503476,False,orig
PHI35,HUMAN_EVAL,1,1000.0,beam,tok_per_sec,13.78979342357431,,0.08370113504966081,n/a,,n/a,13.706092288524657,13.873494558623978,False,orig
PHI35,HUMAN_EVAL,1,1000.0,beam,score,0.6463414634146342,,0.07394585365682171,n/a,,n/a,0.5723956097578125,0.7202873170714559,False,orig
PHI35,HUMAN_EVAL,1,1000.0,beam,input_kv_memory,15593.54053307317,,17.846504759223535,n/a,,n/a,15575.694028313948,15611.387037832395,False,orig
PHI35,GSM8K,3,1000.0,beam,mem_per_token,2.474069717749748,1.408599799979588,0.04038462067053461,better,5.742484834866944e-74,paired t-test,-1.1058545384406937,-1.0250852970996245,False,orig
PHI35,GSM8K,3,1000.0,beam,tok_per_sec,12.678770150720773,12.138991102298926,0.1262494261487496,worse,2.1856773704444722e-13,paired t-test,-0.6660284745706,-0.4135296222731008,False,orig
PHI35,GSM8K,3,1000.0,beam,score,0.72,0.69,2123.0685755817385,no_sig,0.3710933695226975,McNemar test,49.05047654746562,4295.187627710942,False,orig
PHI35,GSM8K,3,1000.0,beam,input_kv_memory,15668.320706560002,15434.00438272,14.962783799224923,better,7.30685046438667e-53,paired t-test,-249.2791076392249,-219.35354004077504,False,orig
PHI35,GSM8K,15,1000.0,beam,mem_per_token,12.241407553297936,4.474872322437742,0.1933553372545802,better,1.2978574854277561e-91,paired t-test,-7.959890568114775,-7.573179893605615,False,orig
PHI35,GSM8K,15,1000.0,beam,tok_per_sec,10.230924363814191,8.81381064383179,0.1226694660272033,worse,2.2243536185487398e-41,paired t-test,-1.5397831860096065,-1.2944442539552,False,orig
PHI35,GSM8K,15,1000.0,beam,score,0.74,0.72,227.06058905836036,no_sig,0.7236736098317629,McNemar test,23.439213543417377,477.5603916601381,False,orig
PHI35,GSM8K,15,1000.0,beam,input_kv_memory,17122.74018304,15434.00431616,108.38428134523622,better,1.1505574942600533e-52,paired t-test,-1797.120148225236,-1580.3515855347637,False,orig
PHI35,GSM8K,9,1000.0,beam,mem_per_token,7.350900165616964,2.8975338489405864,0.1077295194472625,better,7.865203043171068e-93,paired t-test,-4.56109583612364,-4.345636797229115,False,orig
PHI35,GSM8K,9,1000.0,beam,tok_per_sec,11.048582788285705,9.896631342445977,0.09362599757426437,worse,1.0991570754133981e-43,paired t-test,-1.2455774434139908,-1.058325448265462,False,orig
PHI35,GSM8K,9,1000.0,beam,score,0.71,0.73,115.63730802806727,no_sig,0.7518296340458492,McNemar test,16.630212843167605,247.90482889930215,False,orig
PHI35,GSM8K,9,1000.0,beam,input_kv_memory,16394.27966464,15434.0043264,61.5885241978807,better,1.081227124379641e-52,paired t-test,-1021.8638624378808,-898.6868140421194,False,orig
PHI35,GSM8K,1,1000.0,beam,mem_per_token,0.8707882617636611,,0.00810362566008227,n/a,,n/a,0.8626846361035787,0.8788918874237432,False,orig
PHI35,GSM8K,1,1000.0,beam,tok_per_sec,13.508500516494392,,0.12081653217768817,n/a,,n/a,13.387683984316704,13.62931704867208,False,orig
PHI35,GSM8K,1,1000.0,beam,score,0.72,,0.08953994476751137,n/a,,n/a,0.6304600552324886,0.8095399447675113,False,orig
PHI35,GSM8K,1,1000.0,beam,input_kv_memory,15424.313349120002,,7.898658387623982,n/a,,n/a,15416.414690732376,15432.212007507624,False,orig
PHI35,CNN,3,1000.0,beam,mem_per_token,4.003173935321542,1.394131706059591,0.053610502967587514,better,9.2249676329898e-100,paired t-test,-2.6626527322295392,-2.555431726294364,False,orig
PHI35,CNN,3,1000.0,beam,tok_per_sec,11.507388275438103,10.808196683874028,0.20619587309836906,worse,1.1232641360653615e-09,paired t-test,-0.9053874646624464,-0.4929957184657082,False,orig
PHI35,CNN,3,1000.0,beam,score,0.1959579062706456,0.185734187063259,0.010571354095980449,no_sig,0.0578686008665987,paired t-test,-0.020795073303367,0.0003476348885939,False,orig
PHI35,CNN,3,1000.0,beam,input_kv_memory,19607.47432448,16759.791779839998,256.8405210937731,better,6.704452438748094e-40,paired t-test,-3104.523065733773,-2590.8420235462268,False,orig
PHI35,CNN,9,1000.0,beam,mem_per_token,11.9494273730019,1.3863973974597503,0.1892536137825056,better,1.339174125868913e-105,paired t-test,-10.75228358932466,-10.37377636175965,False,orig
PHI35,CNN,9,1000.0,beam,tok_per_sec,4.227195413525456,8.884911738401422,0.0853573846444089,better,1.231367688749667e-104,paired t-test,4.572358940231558,4.743073709520376,False,orig
PHI35,CNN,9,1000.0,beam,score,0.1932648782099823,0.1930894570275271,0.0006480949613371,no_sig,0.5924228879327686,paired t-test,-0.0008235161437923,0.0004726737788819,False,orig
PHI35,CNN,9,1000.0,beam,input_kv_memory,28263.23694592,16759.79193344,1027.3251283471982,better,2.966999578802963e-40,paired t-test,-12530.770140827197,-10476.1198841328,False,orig
PHI35,CNN,1,1000.0,beam,mem_per_token,1.3572658544436882,,0.02022254680240665,n/a,,n/a,1.3370433076412815,1.3774884012460948,False,orig
PHI35,CNN,1,1000.0,beam,tok_per_sec,14.134059080089948,,0.14413739573838935,n/a,,n/a,13.989921684351556,14.278196475828334,False,orig
PHI35,CNN,1,1000.0,beam,score,0.1946727904284185,,0.013325269514738197,n/a,,n/a,0.1813475209136803,0.2079980599431567,False,orig
PHI35,CNN,1,1000.0,beam,input_kv_memory,16732.170496,,128.38244775820567,n/a,,n/a,16603.788048241793,16860.552943758204,False,orig
PHI35,WMT,3,1000.0,beam,mem_per_token,3.44235056488003,1.5000255020445978,0.11477712331992995,better,6.547180106904712e-56,paired t-test,-2.0571021861553622,-1.8275479395155023,False,orig
PHI35,WMT,3,1000.0,beam,tok_per_sec,17.243085696724805,17.06655466828713,0.06849014465853075,worse,1.5421523006938369e-06,paired t-test,-0.245021173096209,-0.1080408837791475,False,orig
PHI35,WMT,3,1000.0,beam,score,0.4918340294932138,0.4926965385766699,0.0016675452282113,no_sig,0.3072503266557845,paired t-test,-0.0008050361447553,0.0025300543116673,False,orig
PHI35,WMT,3,1000.0,beam,input_kv_memory,15558.527841280003,15388.73648128,19.83081315349844,better,4.201114470321267e-31,paired t-test,-189.62217315349844,-149.96054684650156,False,orig
PHI35,WMT,15,1000.0,beam,mem_per_token,16.909739194885795,3.99923790229924,0.8481746150116862,better,9.316794138737964e-52,paired t-test,-13.758675907598237,-12.062326677574864,False,orig
PHI35,WMT,15,1000.0,beam,tok_per_sec,14.198724531991338,13.896459307982251,0.1006868104700118,worse,3.945691904231867e-08,paired t-test,-0.4029520344790974,-0.2015784135390738,False,orig
PHI35,WMT,15,1000.0,beam,score,0.4886391984985948,0.4909690869437235,0.00499478161431525,no_sig,0.3569218706034033,paired t-test,-0.0026648931691865,0.007324670059444,False,orig
PHI35,WMT,15,1000.0,beam,input_kv_memory,16607.12376832,15388.73650688,143.86289524632502,better,9.394532452015504e-31,paired t-test,-1362.2501566863248,-1074.5243661936747,False,orig
PHI35,WMT,9,1000.0,beam,mem_per_token,9.995797975102429,2.7037607095691976,0.42939674895605506,better,4.755965013623831e-56,paired t-test,-7.721434014489285,-6.862640516577175,False,orig
PHI35,WMT,9,1000.0,beam,tok_per_sec,14.812271199124384,14.522050383603371,0.06745392727937215,worse,1.6737625071645624e-13,paired t-test,-0.3576747428003812,-0.2227668882416369,False,orig
PHI35,WMT,9,1000.0,beam,score,0.4921921629650535,0.491335031794476,0.0014654666698475502,no_sig,0.248619514877377,paired t-test,-0.0023225978404251,0.00060833549927,False,orig
PHI35,WMT,9,1000.0,beam,input_kv_memory,16083.053511679997,15388.73650688,81.66790899359205,better,7.078345363374154e-31,paired t-test,-775.9849137935919,-612.6490958064078,False,orig
PHI35,WMT,1,1000.0,beam,mem_per_token,1.163183892718354,,0.03270123657827462,n/a,,n/a,1.1304826561400796,1.1958851292966288,False,orig
PHI35,WMT,1,1000.0,beam,tok_per_sec,18.332435746305716,,0.1461150359032768,n/a,,n/a,18.186320710402438,18.47855078220899,False,orig
PHI35,WMT,1,1000.0,beam,score,0.4855835773015344,,0.036971413093752736,n/a,,n/a,0.4486121642077817,0.5225549903952872,False,orig
PHI35,WMT,1,1000.0,beam,input_kv_memory,15381.783321599998,,10.471123037992584,n/a,,n/a,15371.312198562007,15392.254444637992,False,orig
PHI35,MATH500,3,1000.0,beam,mem_per_token,2.486870242930396,1.216196907983602,0.06319697494363741,better,8.144530344398325e-63,paired t-test,-1.3338703098904316,-1.2074763600031568,False,orig
PHI35,MATH500,3,1000.0,beam,tok_per_sec,11.501295407015236,10.934258498885868,0.09276751246494322,worse,2.728659489628111e-21,paired t-test,-0.6598044205943145,-0.4742693956644281,False,orig
PHI35,MATH500,3,1000.0,beam,score,0.44,0.44,,no_sig,1.0,McNemar test,,,False,orig
PHI35,MATH500,3,1000.0,beam,input_kv_memory,15736.157537280003,15459.328578559998,40.60295675957542,better,3.0910872814943923e-24,paired t-test,-317.43191547957537,-236.22600196042453,False,orig
PHI35,MATH500,15,1000.0,beam,mem_per_token,12.502299765855572,3.5553843387484854,0.28975774641926755,better,1.5752767497402928e-80,paired t-test,-9.236673173526356,-8.65715768068782,False,orig
PHI35,MATH500,15,1000.0,beam,tok_per_sec,8.96693305783738,7.741016251334615,0.11923312497717653,worse,3.0853714023372757e-37,paired t-test,-1.3451499314799402,-1.1066836815255872,False,orig
PHI35,MATH500,15,1000.0,beam,score,0.47,0.47,,no_sig,1.0,McNemar test,,,False,orig
PHI35,MATH500,15,1000.0,beam,input_kv_memory,17391.100651520002,15459.32864,283.4676685828232,better,3.185112864447841e-24,paired t-test,-2215.2396801028235,-1648.3043429371771,False,orig
PHI35,MATH500,9,1000.0,beam,mem_per_token,7.492488539047496,2.366139220769725,0.16956770176573244,better,1.2075853959032315e-79,paired t-test,-5.295917020043504,-4.956781616512039,False,orig
PHI35,MATH500,9,1000.0,beam,tok_per_sec,9.70347644678202,8.74214682060973,0.10390651909724796,worse,1.2211639307788533e-33,paired t-test,-1.0652361452695405,-0.8574231070750445,False,orig
PHI35,MATH500,9,1000.0,beam,score,0.44,0.43,6534.235581747339,no_sig,1.0,McNemar test,101.29451296046705,13169.765676455145,False,orig
PHI35,MATH500,9,1000.0,beam,input_kv_memory,16563.08325888,15459.328680959998,162.11236976289223,better,3.3781845652696955e-24,paired t-test,-1265.8669476828925,-941.642208157108,False,orig
PHI35,MATH500,1,1000.0,beam,mem_per_token,0.8090369993529637,,0.01245324363269773,n/a,,n/a,0.796583755720266,0.8214902429856614,False,orig
PHI35,MATH500,1,1000.0,beam,tok_per_sec,12.361241433388273,,0.05540308506463809,n/a,,n/a,12.30583834832364,12.416644518452916,False,orig
PHI35,MATH500,1,1000.0,beam,score,0.43,,0.0987286534811243,n/a,,n/a,0.3312713465188757,0.5287286534811243,False,orig
PHI35,MATH500,1,1000.0,beam,input_kv_memory,15459.334952960002,,20.23262999877261,n/a,,n/a,15439.10232296123,15479.567582958774,False,orig
REASONING,MATH500,1,2000.0,beam,mem_per_token,0.1524804351532719,,0.0017786075563946957,n/a,,n/a,0.1507018275968772,0.1542590427096666,False,orig
REASONING,MATH500,1,2000.0,beam,tok_per_sec,16.45447767875869,,0.0034217206066138317,n/a,,n/a,16.451055958152075,16.457899399365303,False,orig
REASONING,MATH500,1,2000.0,beam,score,0.4,,0.09769608919506809,n/a,,n/a,0.3023039108049319,0.4976960891950681,False,orig
REASONING,MATH500,1,2000.0,beam,input_kv_memory,8068.85339648,,1.698886043605853,n/a,,n/a,8067.154510436394,8070.552282523606,False,orig
